Keyword,Category,Description,RelevantScrumEntities
"user story",Requirement,"A brief description of a feature from the end-user perspective.","Product Backlog, Sprint Backlog"
"epic",Requirement,"A large body of work that can be broken down into smaller user stories.","Product Backlog"
"acceptance criteria",Requirement,"Conditions that a user story must satisfy to be considered complete.","User Story, Sprint Backlog"
"functional requirement",Requirement,"A requirement that specifies a system behavior or function.","User Story, Task"
"non-functional requirement",Requirement,"A requirement that specifies system attributes like performance, security, or usability.","Definition of Done, Sprint Goal"
"technical debt",Requirement,"A concept in software development that reflects the implied cost of additional rework caused by choosing an easy solution now instead of using a better approach that would take longer.","Product Backlog, Sprint Backlog"
"INVEST",Requirement,"A mnemonic for the characteristics of a good user story: Independent, Negotiable, Valuable, Estimable, Small, Testable.","User Story, Product Backlog"
"complexity",Evaluation,"A measure of the effort required to implement a requirement, often assessed through NLP techniques.","Sprint Planning, Estimation"
"dependency",Evaluation,"A relationship between requirements where one requirement cannot be completed without another.","Sprint Backlog, Task Breakdown"
"ambiguity",Evaluation,"A lack of clarity in a requirement that may lead to misinterpretation.","Backlog Refinement, User Story"
"sentiment analysis",Evaluation,"A technique used to determine the emotional tone behind words to assess the complexity or clarity of requirements.","Product Backlog, User Story"
"keyword frequency",Evaluation,"A method of analyzing the occurrence of specific words in requirements to identify key themes or areas of focus.","Requirement Analysis, Backlog Refinement"
"natural language processing",Tool,"A field of AI that focuses on the interaction between computers and humans through natural language.","All SCRUM Artifacts"
