ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,team_size_limit,The team size must not exceed 9,False,max,Team,team_size,2,1.0
C1,project_budget_limit,The project budget must not be exceeded,False,max,Project,budget,2,1.0
C2,sprint_duration_limit,Sprint duration must be between 1 and 4 weeks,False,max,Sprint,end_date,2,1.0
C3,worker_availability,Workers must be available during the sprint,False,max,Worker,availability,2,1.0
C4,feature_priority,Only high-priority features can be in the sprint backlog,False,max,Feature,priority,2,1.0
C5,blocker_resolution,All critical blockers must be resolved,False,min,Blocker,status,2,1.0
C6,skill_requirement,Each task must be assigned to a worker with the required skill,False,max,Task,type,2,1.0
C7,velocity_trend,Velocity trend must be non-negative,False,max,Velocity,trend,2,1.0
C8,release_plan_feasibility,Release plan must be feasible within the roadmap,False,max,ReleasePlan,planned_date,2,1.0
C9,scrum_master_experience,Scrum Master must have at least 2 years of experience,False,min,ScrumMaster,experience,2,1.0
C10,epic_status,Only active epics can have user stories,False,max,Epic,status,2,1.0
