ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Maximize Team Availability,Ensure that employees assigned have high availability,max_team_availability,Team,Max,🟢
G02,Minimize Project Duration,Reduce the time between project start and end,min_project_duration,Project,Min,🟢
G03,Maximize Velocity,Maximize average work delivered per sprint,max_velocity,Velocity,Max,🟢
G04,Maximize Skill Match,Assign employees whose skills match the required feature competencies,max_skill_match,Employee,Max,🟡
G05,Maximize Sprint Goal Achievement,Ensure sprints fulfill their intended goals,max_sprint_goal_achievement,Sprint Goal,Max,🟢
G06,Maximize Stakeholder Satisfaction,Ensure high satisfaction and participation from stakeholders,max_stakeholder_satisfaction,Stakeholder,Max,🟡
G07,Minimize Task Blockers,Reduce blockers affecting sprint tasks,min_task_blockers,Task / Sub-Task,Min,🟢
G08,Maximize Certified Skills,Prefer employees with certified competencies,max_certified_skills,Skill / Competence,Max,🟡
G09,Maximize Budget Efficiency,Use the budget efficiently while meeting requirements,max_budget_efficiency,Project,Max,🟢
G10,Maximize Task Completion Rate,Complete as many assigned sprint tasks as possible,max_task_completion,Sprint Backlog,Max,🟢
