ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,team_assigned_to_project,"1 if Team is assigned to Project; 0 otherwise",binary,{0,1},0,1
DV1,worker_belongs_to_team,"1 if Worker belongs to Team; 0 otherwise",binary,{0,1},0,1
DV2,worker_has_skill,"1 if Worker has Skill; 0 otherwise",binary,{0,1},0,1
DV3,worker_takes_role,"1 if Worker takes a Role; 0 otherwise",binary,{0,1},0,1
DV4,po_manages_product_backlog,"1 if Product Owner manages Product Backlog; 0 otherwise",binary,{0,1},0,1
DV5,scrum_master_supports_team,"1 if Scrum Master supports Team; 0 otherwise",binary,{0,1},0,1
DV6,product_backlog_contains_feature,"1 if Product Backlog contains Feature; 0 otherwise",binary,{0,1},0,1
DV7,product_backlog_contains_epic,"1 if Product Backlog contains Epic; 0 otherwise",binary,{0,1},0,1
DV8,epic_contains_user_story,"1 if Epic contains User Story; 0 otherwise",binary,{0,1},0,1
DV9,user_story_consists_of_task,"1 if User Story consists of Task; 0 otherwise",binary,{0,1},0,1
DV10,user_story_in_sprint_backlog,"1 if User Story is in Sprint Backlog; 0 otherwise",binary,{0,1},0,1
DV11,sprint_backlog_in_sprint,"1 if Sprint Backlog belongs to Sprint; 0 otherwise",binary,{0,1},0,1
DV12,sprint_pursues_goal,"1 if Sprint pursues a Sprint Goal; 0 otherwise",binary,{0,1},0,1
DV13,task_blocked_by_blocker,"1 if Task is blocked by Blocker; 0 otherwise",binary,{0,1},0,1
DV14,velocity_refers_to_team,"1 if Velocity record refers to Team; 0 otherwise",binary,{0,1},0,1
