ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Limit,Ensure team does not exceed recommended headcount,TeamSizeLimit,Team,Min,🔴
C2,Sprint Duration,Fix sprint length to standard period (e.g., 2 weeks),SprintLength,Sprint,Max,🟢
C3,Budget Ceiling,Project spend must not exceed allocated budget,BudgetCeiling,Project,Min,🔴
C4,Skill Coverage,All required Skills must be present in Team,SkillCoverage,Team;Worker / Employee,Min,🟢
C5,Certification Requirement,Ensure Scrum Master and Product Owner certified,CertCompliance,Scrum Master;Product Owner,Min,🟢
C6,Resource Availability,Team members must be available throughout sprint,AvailabilityRate,Worker / Employee;Sprint,Min,🟢
C7,Backlog Size,Limit number of items in Sprint Backlog,SprintBacklogSize,Sprint Backlog,Max,🔴
C8,Market Readiness,Release Plan date must respect market launch window,MarketWindow,Release Plan,Max,🟢
C9,Daily Scrum Attendance,All team members attend daily stand-up,DryAttendanceRate,Daily Scrum,Min,🟢
C10,Documentation Status,Feature Documentation must be up-to-date before review,DocCompleteness,Feature Documentation;Feature,Min,🟢
