ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Project Deadline Must Be Met,Project End date cannot be exceeded,project_deadline_must,Project,Min,🟢
C02,Team Size Limit,Team size must not exceed predefined maximum,team_size_limit,Team,Max,🟢
C03,Employee Availability,Employees must be available during sprint periods,employee_availability,Employee,Max,🟢
C04,Skill Matching,Tasks require assigned employees to have necessary skills,skill_matching,Employee, Skill, Task / Sub-Task,Max,🟢
C05,Sprint Duration Fixed,Sprint duration cannot be changed,sprint_duration_fixed,Sprint,Min,🟢
C06,No Overlapping Sprint Assignments,A User Story cannot be assigned to multiple simultaneous sprints,no_overlapping_sprints,User Story, Sprint Backlog,Min,🟢
C07,Task Effort Bound,Task effort must be within realistic effort estimates,task_effort_bounds,Task / Sub-Task,Min,🟢
C08,Blockers Must Be Resolved,Blockers must be resolved within defined time after detection,blockers_resolution_time,Blocker / Problem / Bug,Min,🟢
C09,Product Owner Manages One Backlog,Each Product Owner manages exactly one Product Backlog,po_single_backlog,Product Owner, Product Backlog,Max,🟢
C10,Scrum Master Assigned,Each Team must be supported by exactly one Scrum Master,scrum_master_assigned,Team, Scrum Master,Max,🟢
