ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_total_story_points,Maximize total story points committed across all user stories,True,max,UserStory,story_points,1,1.0
G1,minimize_total_task_effort,Minimize total estimated effort across all tasks,True,min,Task,effort,2,1.0
G2,maximize_sprint_goal_achievement,Maximize achievement status of sprint goals,True,max,SprintGoal,achievement_status,1,0.8
G3,minimize_blocker_severity,Reduce aggregate severity of active blockers,True,min,Blocker,severity,2,1.0
G4,maximize_delivery_of_high_priority_features,Favor delivering higher-priority features,True,max,Feature,priority,1,0.9
G5,maximize_velocity_average_story_points,Increase average story points completed per sprint,True,max,Velocity,avg._story_points,1,1.0
G6,minimize_daily_scrum_time,Keep total time spent in Daily Scrums low,True,min,DailyScrum,duration,1,0.4
G7,minimize_wip_in_sprint_backlog,Reduce number of tasks in sprint backlog (WIP),True,min,SprintBacklog,number_of_tasks,2,0.7
G8,maximize_team_satisfaction,Raise reported team satisfaction from retrospectives,True,max,SprintRetrospective,team_satisfaction,1,0.8
G9,minimize_product_backlog_size,Keep product backlog size lean,True,min,ProductBacklog,number_of_entries,1,0.5
G10,maximize_release_feature_coverage,Maximize included features per release,True,max,ReleasePlan,included_features,1,0.6
G11,maximize_roadmap_milestones,Increase number of achieved roadmap milestones,True,max,Roadmap,milestones,1,0.5
