ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,team_size_within_limit,Team size must not exceed the allowed maximum,False,min,Team,team_size,2,1.0
C1,team_type_is_cross_functional,Selected teams must be cross-functional,False,min,Team,team_type,2,1.0
C2,worker_availability_above_threshold,Workers must meet minimum availability to be assigned,False,min,Worker,availability,2,1.0
C3,sprint_status_is_planned_or_active,Only planned or active sprints are eligible,False,min,Sprint,status,2,1.0
C4,user_story_status_not_done,Do not reconsider stories already done,False,min,UserStory,status,0,1.0
C5,task_type_is_valid,Tasks must be of allowed types (e.g., development/test),False,min,Task,type,2,1.0
C6,blocker_status_must_be_resolved,Blockers linked to closed work must be resolved,False,min,Blocker,status,2,1.0
C7,feature_priority_meets_minimum,Features must meet a minimum priority to be selected,False,min,Feature,priority,2,1.0
C8,project_budget_under_cap,Project budget must not exceed the cap,False,min,Project,budget,2,1.0
C9,sprint_goal_must_be_defined,Sprints must have a defined objective description,False,min,SprintGoal,objective_description,2,1.0
C10,review_feedback_documented,Sprint reviews must include feedback documentation,False,min,SprintReview,feedback_documentation,2,1.0
C11,retrospective_has_moderation,Retrospectives must record moderation,False,min,SprintRetrospective,moderation,2,1.0
C12,velocity_min_threshold,Teams must meet a minimum velocity threshold,False,min,Velocity,min_velocity,2,1.0
