"Rank","Name","Abbreviation","Description","Solvability","Example","Appearances"
"10","Linear Programming","LP","Optimize linear objective function subject to linear constraints","High","Production planning, Resource allocation","10"
"9","Integer Programming","IP","Optimize linear objective function subject to linear constraints with integer variables","Medium","Scheduling, Facility location","9"
"8","Nonlinear Programming","NLP","Optimize nonlinear objective function subject to nonlinear constraints","Low","Portfolio optimization, Chemical process optimization","8"
"7","Dynamic Programming","DP","Break down complex problems into smaller subproblems","High","Shortest path, Knapsack problem","7"
"6","Stochastic Programming","SP","Optimize problems with uncertain parameters","Medium","Supply chain management, Financial planning","6"
"5","Quadratic Programming","QP","Optimize quadratic objective function subject to linear constraints","High","Portfolio optimization, Control systems","5"
"4","Mixed-Integer Linear Programming","MILP","Optimize linear objective function subject to linear constraints with integer and continuous variables","Medium","Supply chain management, Energy systems","4"
"3","Mixed-Integer Nonlinear Programming","MINLP","Optimize nonlinear objective function subject to nonlinear constraints with integer and continuous variables","Low","Process optimization, Network design","3"
"2","Convex Optimization","CO","Optimize convex objective function subject to convex constraints","High","Signal processing, Machine learning","2"
"1","Semi-definite Programming","SDP","Optimize linear objective function subject to linear matrix inequalities","High","Control systems, Signal processing","1"
