ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_budget,Increase project budget to enable more features or resources.,False,max,Project,budget,2,1.5
G1,minimize_blocker_severity,Reduce the severity of blockers affecting task completion.,True,min,Blocker,severity,2,1.2
G2,maximize_velocity_improvement,Improve team velocity over time to enhance productivity.,False,max,Velocity,avg._story_points,2,1.3
G3,maximize_team_satisfaction,Achieve higher satisfaction levels in sprint retrospectives.,True,max,SprintRetrospective,team_satisfaction,2,1.4
G4,minimize_feature_implementation_time,Decrease the time taken to implement features from planning.,False,min,Feature,estimated_effort,2,1.1
G5,maximize_stakeholder_influence_level,Increase stakeholder influence level for better engagement.,True,max,Stakeholder,influence_level,2,1.3
G6,minimize_sprint_overdue_tasks,Reduce the number of tasks that go overdue in sprints.,False,min,SprintBacklog,status,2,1.5
G7,maximize_feature_priority,Increase priority for critical features to be developed sooner.,True,max,Feature,priority,2,1.4
G8,minimize_task_effort,Mitigate the effort required for individual tasks to streamline workload.,False,min,Task,effort,2,1.3
G9,maximize_stakeholder_relevance_to_feature,Ensure stakeholders are relevant and involved with specific features.,True,max,Stakeholder,relevance_to_feature,2,1.2
