"ID","Name","Description","IsSum","GoalType","EntityName","EntityAttribute","CriteriaType","Weight"
"G0","maximize_team_velocity","Maximize average team velocity",False,"max","Velocity","avg._story_points",2,1.0
"G1","minimize_blocker_severity","Minimize average blocker severity",False,"min","Blocker","severity",2,0.8
"G2","maximize_sprint_goal_achievement","Maximize sprint goal achievement rate",False,"max","SprintGoal","achievement_status",2,1.2
"G3","minimize_task_effort","Minimize total task effort",True,"min","Task","effort",2,0.9
"G4","maximize_feature_completion","Maximize feature completion rate",False,"max","Feature","status",2,1.1
"G5","minimize_sprint_retrospective_improvement_actions","Minimize number of improvement actions",False,"min","SprintRetrospective","improvement_actions",2,0.7
"G6","maximize_stakeholder_satisfaction","Maximize stakeholder satisfaction",False,"max","Stakeholder","influence_level",1,1.0
"G7","minimize_development_snapshot_bugs","Minimize bugs in development snapshots",False,"min","DevelopmentSnapshot","test_status",2,0.9
"G8","maximize_product_backlog_quality","Maximize product backlog quality",False,"max","ProductBacklog","number_of_entries",2,1.0
"G9","minimize_scrum_board_blocked_tasks","Minimize blocked tasks on scrum board",False,"min","ScrumBoard","number_of_cards",2,0.8
"G10","maximize_release_plan_included_features","Maximize features included in release plan",False,"max","ReleasePlan","included_features",2,1.1
"G11","minimize_roadmap_risk","Minimize roadmap risk",False,"min","Roadmap","milestones",2,0.9
"G12","maximize_team_collaboration","Maximize team collaboration",False,"max","Team","team_size",1,1.0
"G13","minimize_worker_availability_issues","Minimize worker availability issues",False,"min","Worker","availability",2,0.8
"G14","maximize_product_owner_experience","Maximize product owner experience",False,"max","ProductOwner","availability",1,1.0
