ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Project Completion,Maximize on-time completion of projects,MaxProjectCompletion,Project,Max,🟢
G2,Maximize Team Velocity,Maximize average story points completed per sprint,MaxTeamVelocity,Velocity; Team,Max,🟢
G3,Minimize Blocker Resolution Time,Minimize the average time taken to resolve blockers,MinBlockerResolution,Blocker / Problem / Bug,Min,🟢
G4,Maximize Feature Delivery,Maximize number of features delivered within sprint deadlines,MaxFeatureDelivery,Feature; Sprint,Max,🟢
G5,Maximize Employee Availability,Maximize availability of employees for sprint tasks,MaxEmployeeAvailability,Employee,Max,🟢
G6,Minimize Sprint Overruns,Minimize deviation from sprint planned effort,MinSprintOverruns,Sprint; Sprint Backlog,Min,🟢
G7,Maximize Product Owner Involvement,Maximize availability of Product Owner for backlog grooming and sprint planning,MaxPOInvolvement,Product Owner,Max,🟡
G8,Maximize Team Satisfaction,Maximize team satisfaction measured in sprint retrospectives,MaxTeamSatisfaction,Sprint Retrospective,Max,🟡
G9,Maximize Skill Coverage,Maximize number of required skills covered by team members,MaxSkillCoverage,Employee; Skill,Max,🟡
G10,Minimize Unplanned Work,Minimize tasks blocked or added mid-sprint,MinUnplannedWork,Task / Sub-Task; Blocker,Min,🟢
