ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Whether a specific team is assigned to a project,binary,{0,1},0,1
DV1,assign_worker_to_team,Whether a worker is assigned to a team,binary,{0,1},0,1
DV2,assign_user_story_to_sprint,Whether a user story is scheduled in a sprint backlog,binary,{0,1},0,1
DV3,select_feature_for_release,Whether a feature is included in a release plan,binary,{0,1},0,1
DV4,select_epic_for_backlog,Whether an epic is included in the active product backlog,binary,{0,1},0,1
DV5,plan_sprint_length_days,Planned sprint length in days,integer,Z,7,30
DV6,allocate_task_effort_hours,Effort assigned to a task in hours,integer,Z,1,80
DV7,set_team_size,Planned team size for a sprint,integer,Z,3,11
DV8,set_story_points,Story points assigned to a user story,integer,Z,1,13
DV9,set_blocker_severity,Severity level assigned to a blocker,integer,Z,1,5
DV10,set_scrum_board_column_count,Number of columns configured on the Scrum board,integer,Z,2,7
DV11,schedule_daily_scrum_minutes,Duration of the Daily Scrum in minutes,integer,Z,10,15
DV12,approve_budget_per_project,Approved budget amount for a project,real,R,0,1000000
