Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization with linear objective and constraints, solvable in polynomial time,Resource allocation,10
2,Nonlinear Programming,NLP,Optimization with nonlinear objective or constraints, often requires iterative solvers,Portfolio optimization,9
3,Integer Programming,IP,Optimization with integer variables, NP-hard,Job scheduling,8
4,Quadratic Programming,QP,Optimization with quadratic objective and linear constraints, solvable if convex,Quadratic portfolio optimization,7
5,Convex Optimization,CO,Optimization with convex objective and constraints, solvable in polynomial time,Support vector machines,6
6,Mixed-Integer Linear Programming,MILP,LP with integer variables, NP-hard,Vehicle routing,5
7,Mixed-Integer Nonlinear Programming,MINLP,NLP with integer variables, NP-hard,Chemical process design,4
8,Semidefinite Programming,SDP,Optimization with semidefinite matrices, solvable in polynomial time,Control system design,3
9,Stochastic Programming,SP,Optimization under uncertainty, complex due to randomness,Supply chain with demand uncertainty,2
10,Global Optimization,GO,Finding global optima for non-convex problems, computationally intensive,Non-convex NLP,1
