ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Number of Sprints,Total number of sprints planned for the project,NumberOfSprints,Sprint,Integer,1,20
DV2,Team Size,Number of team members,TeamSize,Team,Integer,3,12
DV3,Task Effort,Estimated effort in hours for a task,TaskEffort,Task / Sub-Task,Float,0.5,40
DV4,Story Points,Story points assigned to user stories,StoryPoints,User Story,Integer,1,20
DV5,Budget Amount,Budget allocated for the project,BudgetAmount,Project,Float,1000,1000000
DV6,Employee Availability,Percentage availability of employee,EmployeeAvailability,Employee,Float,0,100
DV7,Sprint Duration,Length of sprint in days,SprintDuration,Sprint,Integer,7,30
DV8,Blocker Severity,Severity level of a blocker,BlockerSeverity,Blocker / Problem / Bug,Integer,1,5
DV9,Number of Features,Number of features included in a sprint,NumberOfFeatures,Feature,Integer,1,15
DV10,Employee Skill Level,Level of skill for a given competence,EmployeeSkillLevel,Skill / Competence,Integer,1,10
