ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Team Size Limit,Team should not exceed 9 members,MaxTeamSize,Team,Max,🟢
C02,Sprint Duration Limit,Sprint duration must not exceed 4 weeks,MaxSprintDuration,Sprint,Max,🟢
C03,Availability Match,Only assign available employees,MinUnavailableAssignments,Employee,Min,🟢
C04,Skill Certification Required,Certain tasks require certified skills,CertifiedSkillMatch,Skill / Competence,Max,🟢
C05,One Role per Employee,An employee should not take multiple conflicting roles,SingleRolePerEmployee,Employee,Max,🔴
C06,Feature Budget Cap,Each feature must stay under budget threshold,MaxFeatureBudget,Feature,Max,🟢
C07,Effort Limit per Sprint,Sprint backlog should not exceed team capacity,MaxSprintEffort,Sprint Backlog,Max,🟢
C08,Retrospective Moderation Only by Scrum Master,Only Scrum Masters moderate retrospectives,ValidModerationAssignment,Sprint Retrospective,Max,🟢
C09,Daily Scrum Timing,Daily Scrum must be held during working hours,ValidScrumTiming,Daily Scrum,Max,🟡
C10,User Story to Task Ratio,Maintain a healthy ratio of stories to sub-tasks,StoryTaskBalance,User Story,Max,🟡
