ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_size,Integer representing team size,Integer,{3, 4, 5, 6, 7, 8, 9},3,9
D1,product_owner_availability,Float representing product owner availability,Float,[0.0, 1.0],0.8,1.0
D2,scrum_master_experience,Integer representing scrum master experience,Integer,{2, 3, 4, 5},2,5
D3,sprint_duration,Integer representing sprint duration in weeks,Integer,{1, 2, 3, 4},1,4
D4,feature_priority,Integer representing feature priority,Integer,{0, 1},0,1
D5,task_status,Integer representing task status,Integer,{0, 1},0,1
D6,blocker_status,Integer representing blocker status,Integer,{0, 1},0,1
D7,sprint_goal_achievement,Float representing sprint goal achievement,Float,[0.0, 1.0],0.8,1.0
D8,release_plan_status,Integer representing release plan status,Integer,{0, 1},0,1
D9,roadmap_objectives,Integer representing roadmap objectives,Integer,{0, 1},0,1
D10,sprint_review_attendees,Integer representing sprint review attendees,Integer,{0, 1},0,1
D11,development_snapshot_test_status,Integer representing development snapshot test status,Integer,{0, 1},0,1
D12,feature_documentation,Integer representing feature documentation status,Integer,{0, 1},0,1
D13,task_effort,Integer representing task effort,Integer,{1, 2, 3, 4, 5},1,5
D14,blocker_severity,Integer representing blocker severity,Integer,{1, 2, 3},1,3
