ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,select_feature_f,"Binary decision to include Feature f in the upcoming release.",binary,"{0,1}",0,1
DV1,select_user_story_us,"Binary decision to include User Story us in the next sprint.",binary,"{0,1}",0,1
DV2,assign_task_to_sprint,"Binary assignment of Task t to the active Sprint backlog.",binary,"{0,1}",0,1
DV3,prioritize_user_story_us,"Integer priority rank assigned to a selected User Story.",integer,"{1..100}",1,100
DV4,allocate_team_capacity_hours,"Continuous hours of capacity allocated to the sprint.",real,"[0,+inf)",0,1000
DV5,set_story_points_us,"Integer story points assigned to a User Story.",integer,"{0..100}",0,100
DV6,set_task_effort_t,"Integer effort units assigned to a Task.",integer,"{0..100}",0,100
DV7,schedule_review_duration,"Integer minutes allocated for Sprint Review duration.",integer,"{0..240}",0,240
DV8,limit_board_wip,"Integer limit of simultaneous cards allowed on the Scrum Board.",integer,"{1..200}",1,200
DV9,select_release_plan_rep,"Binary decision to activate a specific Release Plan.",binary,"{0,1}",0,1
DV10,choose_deployment_target,"Categorical selection of deployment target for Development Snapshot.",categorical,"{dev,staging,production}",0,0
DV11,set_sprint_goal_achievement_target,"Integer target indicator for achievement_of_goal proxy (0/1).",integer,"{0,1}",0,1
DV12,assign_product_owner_availability,"Integer percentage availability reserved for backlog activities.",integer,"{0..100}",0,100
