ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_budget,Maximize the total budget across all selected projects.,True,max,Project,budget,1,1.0
G1,maximize_project_priority,Maximize the priority of selected projects.,True,max,Project,priority,1,1.2
G2,maximize_team_velocity,Maximize the average story points completed by teams.,True,max,Velocity,avg._story_points,1,1.5
G3,minimize_task_effort,Minimize the total effort for all tasks in a sprint.,True,min,Task,effort,1,0.8
G4,minimize_blocker_severity,Minimize the impact of blockers by focusing on high-severity ones first.,True,min,Blocker,severity,1,2.0
G5,maximize_user_story_priority,Maximize the priority of user stories selected for a sprint.,True,max,UserStory,priority,1,1.3
G6,maximize_feature_priority,Maximize the priority of features planned for a release.,True,max,Feature,priority,1,1.4
G7,maximize_story_points_in_sprint,Maximize the total story points of user stories in a sprint.,True,max,UserStory,story_points,1,1.0
G8,minimize_number_of_blockers,Minimize the total number of active blockers.,True,min,Blocker,id,1,1.5
G9,maximize_stakeholder_influence,Prioritize work relevant to stakeholders with high influence.,True,max,Stakeholder,influence_level,1,0.7
G10,maximize_team_satisfaction,Maximize the satisfaction of the team at the end of a sprint.,True,max,SprintRetrospective,team_satisfaction,1,0.9
