ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,ensure_project_status,Ensure project status is active,False,max,Project,status,2,1.0
C1,ensure_team_status,Ensure team status is active,False,max,Team,team_status,2,1.0
C2,ensure_product_owner_availability,Ensure product owner availability is high,False,max,ProductOwner,availability,2,1.0
C3,ensure_scrum_master_experience,Ensure scrum master experience is high,False,max,ScrumMaster,experience,2,1.0
C4,ensure_feature_priority,Ensure feature priority is high,True,max,Feature,priority,2,1.0
C5,ensure_task_status,Ensure task status is in progress,True,max,Task,status,2,0.9
C6,ensure_stakeholder_influence,Ensure stakeholder influence is high,True,max,Stakeholder,influence_level,2,1.1
C7,ensure_sprint_retrospective_improvement_actions,Ensure sprint retrospective improvement actions are low,False,min,SprintRetrospective,improvement_actions,2,0.8
C8,ensure_development_snapshot_test_status,Ensure development snapshot test status is high,False,max,DevelopmentSnapshot,test_status,2,1.0
C9,ensure_release_plan_status,Ensure release plan status is high,False,max,ReleasePlan,status,2,1.0
C10,ensure_roadmap_milestones,Ensure roadmap milestones are low,False,min,Roadmap,milestones,2,0.9
C11,ensure_scrum_board_columns,Ensure scrum board columns are high,False,max,ScrumBoard,columns_(todo/done...),2,1.0
C12,ensure_blocker_severity,Ensure blocker severity is low,False,min,Blocker,severity,2,1.0
C13,ensure_sprint_velocity,Ensure sprint velocity is high,False,max,Velocity,avg._story_points,2,1.2
C14,ensure_project_duration,Ensure project duration is low,False,min,Project,project_end,2,1.0
