Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization where the objective function and constraints are linear.,Polynomial time via simplex or interior-point methods.,Maximizing profit given resource constraints.,10
2,Integer Programming,IP,"Optimization with integer decision variables, often NP-hard.",Exact methods like branch-and-bound or heuristics.,Scheduling staff shifts with fixed slots.,9
3,Nonlinear Programming,NLP,Objective or constraints are nonlinear.,Gradient-based or heuristic algorithms.,Portfolio optimization with nonlinear risk-return tradeoff.,8
4,Mixed-Integer Programming,MIP,Combines integer and continuous variables in constraints/objective.,"Branch-and-bound, branch-and-cut.",Supply chain design with discrete plant locations.,7
5,Convex Optimization,CO,Optimization where the objective and feasible set are convex.,Polynomial time with interior-point methods.,Optimal resource allocation in networks.,6
6,Dynamic Programming,DP,Breaks problems into overlapping subproblems solved recursively.,Pseudo-polynomial for some problems.,Shortest path in a weighted graph.,5
7,Stochastic Programming,SP,Optimization under uncertainty with probabilistic constraints.,Scenario-based approximation or decomposition.,Energy grid management under demand uncertainty.,4
8,Combinatorial Optimization,CO,"Optimization over discrete structures like graphs, sets, sequences.","Often NP-hard, heuristics used.",Traveling salesman problem.,3
9,Multi-Objective Optimization,MOO,Optimization with multiple conflicting objectives.,Pareto front approximation methods.,Balancing cost and performance in engineering design.,2
10,Constraint Programming,CP,Optimization with constraints expressed in a constraint satisfaction framework.,Constraint propagation and search.,Timetable scheduling.,1
