"ID","Name","Description","AffectedEntities","Influence"
"1","Unclear Requirements","Unclear or changing requirements lead to confusion and rework","Developers, Product Owner",8
"2","Tight Deadlines","Aggressive sprint deadlines lead to time pressure and stress","Developers, Scrum Master",9
"3","Overload","Excessive workload or task complexity leads to burnout","Developers",9
"4","Lack of Autonomy","Micromanaging or lack of decision-making authority leads to frustration","Developers",6
"5","Poor Communication","Inadequate communication among team members leads to misunderstandings","Developers, Product Owner, Scrum Master",8
"6","Insufficient Resources","Lack of necessary tools, training, or support leads to frustration","Developers",7
"7","Conflict","Interpersonal conflicts or disagreements lead to stress and tension","Developers, Scrum Master",8
"8","Unrealistic Expectations","Unrealistic expectations from stakeholders or management lead to pressure","Developers, Product Owner",8
"9","Lack of Feedback","Insufficient or unclear feedback leads to confusion and uncertainty","Developers, Product Owner",6
"10","Technical Debt","Accumulated technical debt leads to increased complexity and stress","Developers",8
"11","Sprint Planning Issues","Poor sprint planning or estimation leads to unrealistic expectations","Developers, Scrum Master",7
"12","Stakeholder Pressure","Pressure from stakeholders to deliver quickly or meet specific requirements","Product Owner, Developers",8
"13","Team Dynamics","Poor team dynamics or lack of cohesion leads to stress and tension","Developers, Scrum Master",7
"14","Burnout","Prolonged periods of stress and overwork lead to burnout","Developers",9
"15","Lack of Recognition","Lack of recognition or appreciation for work done leads to demotivation","Developers",5
