Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Method to optimize a linear objective function subject to linear constraints,Solvable in polynomial time,Production planning,10
2,Quadratic Programming,QP,Method to optimize a quadratic objective function subject to linear constraints,Solvable in polynomial time,Portfolio optimization,9
3,Integer Programming,IP,Method to optimize a linear objective function subject to integer constraints,NP-hard,Cutting stock problem,8
4,Dynamical Systems,DS,Study of systems that change over time,Solvable with numerical methods,Predator-prey models,7
5,Nonlinear Programming,NLP,Method to optimize a nonlinear objective function subject to nonlinear constraints,NP-hard,Chemical process optimization,6
6,Stochastic Optimization,SO,Method to optimize under uncertainty,Solvable with Monte Carlo methods,Financial portfolio optimization,5
7,Convex Optimization,CO,Method to optimize a convex objective function subject to convex constraints,Solvable in polynomial time,Control systems design,4
8,Semidefinite Programming,SDP,Method to optimize a linear objective function subject to semidefinite constraints,Solvable in polynomial time,Signal processing,3
9,Second-Order Cone Programming,SOCP,Method to optimize a linear objective function subject to second-order cone constraints,Solvable in polynomial time,Antenna design,2
10,Combinatorial Optimization,COPT,Method to optimize discrete variables,NP-hard,Scheduling problems,1
