ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C001,Must be available,The Product Owner must be available to review requirements,True,ProductOwner,ProductBacklog,1,1
C002,Must have skillset,The team must have the required skillset,True,Employee,Skill,1,1
C003,Must meet the deadline,The sprint must be completed by the deadline,True,Sprint,ProductBacklog,1,1
C004,Must have features,Features must be in the backlog,True,ProductBacklog,Feature,1,1
C005,Must have Epic,The Epic must be on the backlog,True,ProductBacklog,Epic,1,1
C006,Must have User Story,User Story must be assigned to a user story,True,UserStory,Task,1,1
C007,Must be considered in the product backlog,The product backlog must be considered for feature planning,True,ProductBacklog,Feature,1,1
C008,Must be prioritized,The priority of features must be considered,True,Feature,1,1
C009,Must be within the scope,Feature should be within the scope,True,Feature,1,1
C010,Must have the right feature,The feature should be a key feature,True,Feature,1,1
C011,Must be in focus,The feature must be in focus,True,Feature,1,1
C012,Must be not in the backlog,The feature should not be on the backlog,True,Feature,1,1
C013,Must be in testing,The test case should be in testing,True,Test,1,1
C014,Must not be duplicated,The feature should not be duplicated,True,Feature,1,1
C015,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C016,Must be within the product,The feature should be within the product,True,Feature,1,1
C017,Must be in testing,The feature should be in the test case,True,Test,1,1
C018,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C019,Must be in the product backlog,The feature must be in the product backlog,True,ProductBacklog,Feature,1,1
C020,Must be within the scope,Feature should be within the scope,True,Feature,1,1
C021,Must be in the focus,Feature must be a focus,True,Feature,1,1
C022,Must be not in the backlog,The feature should not be on the backlog,True,Feature,1,1
C023,Must be in a development state,The feature must be in a development state,True,Feature,1,1
C024,Must be in testing,The feature should be in the test case,True,Test,1,1
C025,Must be in testing,The feature should be in the test case,True,Test,1,1
C026,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C027,Must be in the product backlog,The feature must be in the product backlog,True,ProductBacklog,Feature,1,1
C028,Must be within the scope,Feature should be within the scope,True,Feature,1,1
C029,Must be in the focus,Feature must be a focus,True,Feature,1,1
C030,Must be not in the backlog,The feature should not be on the backlog,True,Feature,1,1
C031,Must be in the testing,The feature should be in the test case,True,Test,1,1
C032,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C033,Must be in the product,The feature must be in the product,True,Feature,1,1
C034,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C035,Must be in testing,The feature should be in the test case,True,Test,1,1
C036,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C037,Must be in the product backlog,The feature must be in the product backlog,True,ProductBacklog,Feature,1,1
C038,Must be in the focus,The feature must be a focus,True,Feature,1,1
C039,Must be not in the backlog,The feature should not be on the backlog,True,Feature,1,1
C040,Must be in the testing,The feature should be in the test case,True,Test,1,1
C041,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C042,Must be in the product,The feature must be in the product,True,Feature,1,1
C043,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C044,Must be in the testing,The feature should be in the test case,True,Test,1,1
C045,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1
C046,Must be in the product backlog,The feature must be in the product backlog,True,ProductBacklog,Feature,1,1
C047,Must be in the focus,The feature must be a focus,True,Feature,1,1
C048,Must be not in the backlog,The feature should not be on the backlog,True,Feature,1,1
C049,Must be in the testing,The feature should be in the test case,True,Test,1,1
C050,Must be in the sprint,The feature should be in the sprint,True,Feature,1,1

**3. DecisionVariables.csv**
