ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_priority_weight,Weight assigned to project priority in planning,Float,{0.0,0.5,1.0,1.5,2.0},0.0,2.0
DV1,team_capacity_utilization,Percentage of team capacity used in sprint planning,Float,[0.0,1.0],0.0,1.0
DV2,task_assignment_binary,Binary decision: assign worker to task,Boolean,{0,1},0,1
DV3,sprint_inclusion_flag,Whether a user story is included in current sprint,Boolean,{0,1},0,1
DV4,feature_release_flag,Whether a feature is included in next release,Boolean,{0,1},0,1
DV5,worker_availability_hours,Number of hours a worker is available per week,Integer,[0,40],0,40
DV6,story_point_estimate,Estimated story points for a user story,Integer,[1,2,3,5,8,13],1,13
DV7,effort_allocation_per_task,Planned effort in hours for a task,Integer,[1,100],1,100
DV8,blocker_resolution_time,Estimated time in days to resolve a blocker,Integer,[1,30],1,30
DV9,documentation_completeness,Score indicating completeness of feature documentation,Float,[0.0,1.0],0.0,1.0
DV10,sprint_goal_achievement_score,Score representing goal achievement (0–100%),Float,[0.0,1.0],0.0,1.0
DV11,velocity_prediction,Forecasted velocity for next sprint,Float,[0,100],0.0,100.0
DV12,release_planned_date_deviation,Deviation in days from planned release date,Integer,[-30,30],-30,30
DV13,retrospective_improvement_count,Number of improvement actions from retrospective,Integer,[0,20],0,20
DV14,scrum_board_column_index,Index of current column for a task on scrum board,Integer,[0,1,2,3],0,3
