"Keyword","Category","Description","RelevantScrumEntities"
"Named Entity Recognition","NLP Technique","Extract specific entities (e.g., names, dates) from text","Product Backlog, User Stories"
"Part-of-Speech Tagging","NLP Technique","Identify parts of speech (e.g., nouns, verbs) in text","Requirements Analysis"
"Dependency Parsing","NLP Technique","Analyze grammatical structure of sentences","Requirements Clarification"
"Sentiment Analysis","NLP Technique","Determine sentiment (e.g., positive, negative) of text","Stakeholder Feedback"
"Topic Modeling","NLP Technique","Identify underlying topics in large text datasets","Product Roadmap"
"Text Classification","NLP Technique","Classify text into predefined categories (e.g., functional/non-functional requirements)","Requirements Categorization"
"Information Extraction","NLP Technique","Extract specific information (e.g., requirements, constraints) from text","Product Backlog"
"Coreference Resolution","NLP Technique","Identify relationships between pronouns and their referents","Requirements Clarification"
"Text Summarization","NLP Technique","Summarize large text datasets into concise summaries","Product Backlog, Sprint Planning"
"Requirements Extraction","NLP Application","Extract system requirements from natural language text","Product Backlog"
"Complexity Analysis","NLP Application","Analyze complexity of system requirements","Sprint Planning, Estimation"
"Requirements Prioritization","NLP Application","Prioritize system requirements based on stakeholder feedback","Product Owner, Sprint Planning"
"Requirements Validation","NLP Application","Validate system requirements against stakeholder needs","Sprint Review, Product Owner"
"User Story Generation","NLP Application","Generate user stories from system requirements","Product Backlog, User Stories"
"Acceptance Criteria Generation","NLP Application","Generate acceptance criteria for user stories","Product Backlog, User Stories"
