Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming (LP),LP,"Optimization of a linear objective function subject to linear equality and inequality constraints.",P,Minimizing transportation costs with given supply and demand.,1000
2,Quadratic Programming (QP),QP,"Optimization of a quadratic objective function subject to linear constraints.",P,Portfolio optimization minimizing risk measured by variance.,800
3,Nonlinear Programming (NLP),NLP,"Optimization where the objective or some constraints are nonlinear.",NP/ P,Determining the optimal shape for aerodynamic structures under certain conditions.,700
4,Convex Optimization,CO,"Optimization problems where the objective function is convex and feasible region is a convex set.",P,Minimizing energy consumption in electrical networks.,600
5,Integer Programming (IP),IP,"Linear programming with some or all variables required to be integers.",NP/ P,Staff scheduling ensuring integer values for workers assigned.,500
6,Mixed-Integer Linear Programming (MILP),MILP,"Optimization problem where some of the decision variables are constrained to be integers in a linear program.",NP/ P,Scheduling and routing problems in logistics requiring integral solutions.,400
7,Dynamic Programming (DP),DP,"A method for solving complex optimization problems by breaking them down into simpler subproblems.",P,Resource allocation over time considering multiple stages.,300
8,Stochastic Optimization,SO,"Optimization under uncertainty where some of the parameters are probabilistic in nature.",NP/ P,Investment portfolio selection with uncertain returns.,200
9,Globally Convergent Methods (GCM),GCM,"Methods designed to find global optima for non-convex problems.",NP,Determining optimal configurations for complex mechanical systems.,100
10,Combinatorial Optimization,CO","Optimization where the set of feasible solutions is discrete or can be reduced to a discrete one.",NP/ P,Traveling Salesman Problem: finding the shortest possible route visiting each city once and returning to the origin.,50
