ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_assignment,binary variable for team assignment,Integer,{0,1},0,1
D1,task_priority,priority of tasks,Integer,{1,2,3,4,5},1,5
D2,sprint_goal_achievement,binary variable for sprint goal achievement,Integer,{0,1},0,1
D3,feature_development_time,development time for features,Integer,{1,2,...,100},1,100
D4,scrum_master_experience,experience of scrum masters,Integer,{1,2,...,10},1,10
D5,product_owner_availability,availability of product owners,Integer,{1,2,...,10},1,10
D6,blocker_severity,severity of blockers,Integer,{1,2,...,5},1,5
D7,task_effort,effort required for tasks,Integer,{1,2,...,100},1,100
D8,sprint_backlog_total_effort,total effort of sprint backlogs,Integer,{1,2,...,1000},1,1000
D9,feature_priority,priority of features,Integer,{1,2,3,4,5},1,5
D10,team_satisfaction,satisfaction of teams,Integer,{1,2,...,5},1,5
D11,release_plan_included_features,number of features in release plan,Integer,{1,2,...,20},1,20
D12,roadmap_milestones,number of milestones in roadmap,Integer,{1,2,...,10},1,10
D13,sprint_review_feedback,feedback issues in sprint reviews,Integer,{1,2,...,5},1,5
D14,feature_documentation_quality,quality of feature documentation,Integer,{1,2,...,5},1,5
